District code,Block code,Panchayat code,Panchayat
215,1187,95111,ADHLOAM
215,1187,95112,ALINAGAR
215,1187,95113,DHAMURA DHAMSAIN
215,1187,95114,GAROUL
215,1187,95115,HANUMAN NAGAR
215,1187,95116,HARIYATH
215,1187,95117,HARSING PUR
215,1187,95121,LAHTA TUMAUL SUHATH
215,1187,95118,MOHIUDINPUR PAKRI
215,1187,95119,MOTI PUR
215,1187,95120,NARMA  NAVNAGAR
215,1189,95122,BAHADURPUR DEKULI
215,1189,95123,BAJID PUR
215,1189,95124,BARUARA
215,1189,95125,BASAT PUR
215,1189,95126,BIUNI ANDAMA
215,1189,95127,DARHAR
215,1189,95128,DILABAR PUR
215,1189,95129,HARI PATTI
215,1189,95130,JALWARA
215,1189,95131,KHAIRA
215,1189,95132,KHARAJ PUR
215,1189,95133,KUSOTHAR
215,1189,95134,MANIYARI
215,1189,95135,MEKNABEDA
215,1189,95136,OJHOUL
215,1189,95137,PIRRI
215,1189,95138,PREMJIWAR
215,1189,95139,RAMBHADRA PUR
215,1189,95140,SIMRA NEHAL PUR
215,1189,95141,TARALAHI
215,1189,95142,TIKAPATTI
215,1189,95143,UGHARA
215,1189,95144,UGHRA MAHAPARA
215,1192,95145,ATAHAR NORTH
215,1192,95146,ATAHAR SOUTH
215,1192,95147,BAGHOUNI
215,1192,95150,BALIGAON
215,1192,95151,BHACHHI
215,1192,95152,BITHOULI
215,1192,95153,CHAKWA BHARWARI
215,1192,95154,DHANOULI
215,1192,95155,DOHAT NARAIN
215,1192,95156,ENAI
215,1192,95157,GANGDAH SHEORAM
215,1192,95158,GUJROULI RAMOULI
215,1192,95159,HARHACHA
215,1192,95163,Hathidih Middle
215,1192,95160,HATHOURI NORTH
215,1192,95161,HATHOURI SOUTH
215,1192,95162,HAVIDIH NORTH
215,1192,95164,HAWIDIH SOUTH
215,1192,95165,JORJA
215,1192,95166,MITHUNIA
215,1192,95167,NIMAITHI
215,1192,95168,PAGHARI
215,1192,95169,SAMADHPURA
215,1192,95170,SUSARI  TURKI
215,1192,95171,THATHOPUR
215,1188,95174,BATHO RADHIYAM
215,1188,95177,DEVRAM AMETHI
215,1188,95179,GANESH BANAUL BALNI
215,1188,95180,HARIPUR
215,1188,95181,HAVI BHOUAR
215,1188,95182,JARISON
